Title,Description,RDataPath,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass
Tonsil Atlas RNA All colData,Cell metadata for the Tonsil Cell Atlas All scRNA-seq/Multiome dataset,HCATonsilData/2.0/RNA/All_RNA_coldata.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA All counts,Count matrix for the Tonsil Cell Atlas All scRNA-seq/Multiome dataset,HCATonsilData/2.0/RNA/All_RNA_counts.h5,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA All processed counts,Processed count matrix for the Tonsil Cell Atlas All scRNA-seq/Multiome dataset,HCATonsilData/2.0/RNA/All_RNA_processed.h5,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA All rowData,Gene annotation for the Tonsil Cell Atlas All scRNA-seq/Multiome dataset,HCATonsilData/2.0/RNA/All_RNA_rowdata.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA All PCA,PCA representation for the Tonsil Cell Atlas All scRNA-seq/Multiome dataset,HCATonsilData/2.0/RNA/All_RNA_pca.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA All HARMONY,HARMONY representation for the Tonsil Cell Atlas All scRNA-seq/Multiome dataset,HCATonsilData/2.0/RNA/All_RNA_harmony.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA All UMAP,UMAP representation for the Tonsil Cell Atlas All scRNA-seq/Multiome dataset,HCATonsilData/2.0/RNA/All_RNA_umap.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA CD4-T colData,Cell metadata for the Tonsil Cell Atlas CD4-T scRNA-seq/Multiome dataset,HCATonsilData/2.0/RNA/CD4-T_RNA_coldata.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA CD4-T counts,Count matrix for the Tonsil Cell Atlas CD4-T scRNA-seq/Multiome dataset,HCATonsilData/2.0/RNA/CD4-T_RNA_counts.h5,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA CD4-T processed counts,Processed count matrix for the Tonsil Cell Atlas CD4-T scRNA-seq/Multiome dataset,HCATonsilData/2.0/RNA/CD4-T_RNA_processed.h5,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
