Title,Description,RDataPath,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass
Tonsil Atlas RNA CD4-T colData,Cell metadata for the Tonsil Cell Atlas CD4-T scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/CD4-T_RNA_coldata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA CD4-T counts,Count matrix for the Tonsil Cell Atlas CD4-T scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/CD4-T_RNA_counts.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA CD4-T processed counts,Processed count matrix for the Tonsil Cell Atlas CD4-T scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/CD4-T_RNA_processed.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA CD4-T rowData,Gene annotation for the Tonsil Cell Atlas CD4-T scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/CD4-T_RNA_rowdata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA CD4-T PCA,PCA representation for the Tonsil Cell Atlas CD4-T scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/CD4-T_RNA_pca.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA CD4-T HARMONY,HARMONY representation for the Tonsil Cell Atlas CD4-T scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/CD4-T_RNA_harmony.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA CD4-T UMAP,UMAP representation for the Tonsil Cell Atlas CD4-T scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/CD4-T_RNA_umap.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas RNA CD8-T colData,Cell metadata for the Tonsil Cell Atlas CD8-T scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/CD8-T_RNA_coldata.rds,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas RNA CD8-T counts,Count matrix for the Tonsil Cell Atlas CD8-T scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/CD8-T_RNA_counts.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas RNA CD8-T processed counts,Processed count matrix for the Tonsil Cell Atlas CD8-T scRNA-seq/Multiome dataset,HCATonsilData/1.0/RNA/CD8-T_RNA_processed.h5,3.15,GRCh38,HDF5,https://zenodo.org/record/6340174,1.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
