Title,Description,RDataPath,BiocVersion,Genome,SourceType,SourceUrl,SourceVersion,Species,TaxonomyId,Coordinate_1_based,DataProvider,Maintainer,RDataClass,DispatchClass
Tonsil Atlas Visium data counts,Count matrix for the Tonsil Cell Atlas Visium dataset,HCATonsilData/2.0/Spatial/Spatial_assay_counts.h5,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas Visium data processed counts,Processed count matrix for the Tonsil Cell Atlas Visium dataset,HCATonsilData/2.0/Spatial/Spatial_assay_logcounts.h5,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,H5File,H5File
Tonsil Atlas Visium data colData,Cell metadata for the Tonsil Cell Atlas Visium dataset,HCATonsilData/2.0/Spatial/Spatial_coldata.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas Visium data HARMONY,HARMONY representation for the Tonsil Cell Atlas Visium dataset,HCATonsilData/2.0/Spatial/Spatial_dimred_harmony.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas Visium data PCA,PCA representation for the Tonsil Cell Atlas Visium dataset,HCATonsilData/2.0/Spatial/Spatial_dimred_pca.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas Visium data UMAP,UMAP representation for the Tonsil Cell Atlas Visium dataset,HCATonsilData/2.0/Spatial/Spatial_dimred_umap.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,matrix,Rds
Tonsil Atlas Visium data rowData,Gene annotation for the Tonsil Cell Atlas Visium dataset,HCATonsilData/2.0/Spatial/Spatial_rowdata.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,DFrame,Rds
Tonsil Atlas Visium H&E staining (c28w2r_7jne4i),H&E staining for sample c28w2r_7jne4i,HCATonsilData/2.0/Spatial/Spatial_image_c28w2r_7jne4i.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,raster,Rds
Tonsil Atlas Visium H&E staining (esvq52_nluss5),H&E staining for sample esvq52_nluss5,HCATonsilData/2.0/Spatial/Spatial_image_esvq52_nluss5.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,raster,Rds
Tonsil Atlas Visium H&E staining (exvyh1_66caqq),H&E staining for sample exvyh1_66caqq,HCATonsilData/2.0/Spatial/Spatial_image_exvyh1_66caqq.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,raster,Rds
Tonsil Atlas Visium H&E staining (gcyl7c_cec61b),H&E staining for sample gcyl7c_cec61b,HCATonsilData/2.0/Spatial/Spatial_image_gcyl7c_cec61b.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,raster,Rds
Tonsil Atlas Visium H&E staining (p7hv1g_tjgmyj),H&E staining for sample p7hv1g_tjgmyj,HCATonsilData/2.0/Spatial/Spatial_image_p7hv1g_tjgmyj.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,raster,Rds
Tonsil Atlas Visium H&E staining (qvwc8t_2vsr67),H&E staining for sample qvwc8t_2vsr67,HCATonsilData/2.0/Spatial/Spatial_image_qvwc8t_2vsr67.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,raster,Rds
Tonsil Atlas Visium H&E staining (tarwe1_xott6q),H&E staining for sample tarwe1_xott6q,HCATonsilData/2.0/Spatial/Spatial_image_tarwe1_xott6q.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,raster,Rds
Tonsil Atlas Visium H&E staining (zrt7gl_lhyyar),H&E staining for sample zrt7gl_lhyyar,HCATonsilData/2.0/Spatial/Spatial_image_zrt7gl_lhyyar.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,raster,Rds
Tonsil Atlas Visium scale (c28w2r_7jne4i),scale for sample c28w2r_7jne4i,HCATonsilData/2.0/Spatial/Spatial_scale_c28w2r_7jne4i.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,scalefactors,Rds
Tonsil Atlas Visium scale (esvq52_nluss5),scale for sample esvq52_nluss5,HCATonsilData/2.0/Spatial/Spatial_scale_esvq52_nluss5.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,scalefactors,Rds
Tonsil Atlas Visium scale (exvyh1_66caqq),scale for sample exvyh1_66caqq,HCATonsilData/2.0/Spatial/Spatial_scale_exvyh1_66caqq.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,scalefactors,Rds
Tonsil Atlas Visium scale (gcyl7c_cec61b),scale for sample gcyl7c_cec61b,HCATonsilData/2.0/Spatial/Spatial_scale_gcyl7c_cec61b.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,scalefactors,Rds
Tonsil Atlas Visium scale (p7hv1g_tjgmyj),scale for sample p7hv1g_tjgmyj,HCATonsilData/2.0/Spatial/Spatial_scale_p7hv1g_tjgmyj.rds,3.18,GRCh38,HDF5,https://zenodo.org/record/8373756,2.0,Homo sapiens,9606,NA,BCLL@las,Ramon Massoni-Badosa <ramonmassoni@gmail.com>,scalefactors,Rds
