"annotation_level_1" "annotation_detailed" "description" "marker_genes" "related_refs" "umap_png" "related_cell_ontology"
"PDC" "PDC" "PDC" "pDCs were previously identified by the standard protein marker CD123 (IL3RA). This cluster had higher expression of IRF8, IL3RA and LILRA4 (Villani et al., 2017)" "IRF8,IL3RA,LILRA4" "Villani2017|10.1126/science.aah4573" "pdc_umap.png" NA
"IFN1+ PDC" "PDC" "IFN1+ PDC" "The second pDC subpopulation was identified by standard protein marker CD123 and as IFN-producing cells. This cluster had higher expression of IRF8, IL3RA, LILRA4 and IFI44, IFI6 (Park et al., 2020; Villani et al., 2017)." "IRF8,IL3RA,LILRA5,IFI44,IFI6" "Park2020|10.1126/science.aay3224;Villani2017|10.1126/science.aah4573" "pdc_umap.png" NA
"preB" "preB" "preB" "Precursor B cells were identified by the expression of CD79B, CD19, PAX5, RAG1/2 (Strauchen et al., 2003)." "CD79B,CD19,PAX5,RAG1,RAG2" "Strauchen2003|10.1177/106689690301100105" "pdc_umap.png" NA
"preT" "preT" "preT" "Precursor T cells in tonsils expressed: CD3G, CD8A, RAG1, DNTT, CD1A, CD1B, CD1C, CD1E (McClory et al., 2012)." "CD3G,CD8A,RAG1,DNTT,CD1A,CD1B,CD1C,CD1E" "McClory2012|10.1172/JCI46125" "pdc_umap.png" NA
"Naive" "CD4_T" "Naive" "Naïve cell is a CD4 T cell that recently migrates from the thymus towards lymph nodes. Naïve CD4 T cells expressed lymph node homing genes such as CCR7 and naïve-associated genes: SELL, LEF1, BACH2 and NOSIP. Also, they were negative for PRDM1 and BCL6 and were CD62L+ and CD45RA+ (Cano-Gamez et al., 2020)." "SELL,LEF1,BACH2,NOSIP" "Cano-Gamez2020|10.1038/s41467-020-15543-y" "cd4_t_umap.png" NA
"CM Pre-non-Tfh" "CD4_T" "CM Pre-non-Tfh" "After antigen encounter T cells acquire memory and effector functions maintaining the lymph node homing. CM showed an upregulation of IL7R compared to naïve T cells, and higher expression of PRDM1, PASK, ANXA1 and S100A4. They had an intermediate expression of CCR7 and higher expression of CD28 confirming their migratory capacity to secondary lymph nodes and their memory profile based on their effector function. This cluster was CD45RO+, CD28+ and CD29+(Cano-Gamez et al., 2020; Nicolet et al., 2021)." "CCR7,IL7R,ANXA1,ITGB1,S100A4" "Cano-Gamez2020|10.1038/s41467-020-15543-y;Nicolet2021|10.4049/jimmunol.2100138" "cd4_t_umap.png" NA
"CM Pre-Tfh" "CD4_T" "CM Pre-Tfh" "Early Tfh cell differentiation is regulated by IL-6 and ICOS. This cluster had a similar CM profile, but differential expression of follicular precursors: TCF7, IL6ST and CXCR5, and up-regulation of follicular genes such as ICOS, PDCD1 and TIGIT (Qi, 2016; Sallusto et al., 2004)" "CCR7,IL7R,IL6ST,ANK3,ZBTB16" "Qi2016|10.1038/nri.2016.94;Sallusto2004|10.1146/annurev.immunol.22.012703.104702" "cd4_t_umap.png" NA
"Tfh T:B border" "CD4_T" "Tfh T:B border" "After antigen recognition, CD4 T cells migrate toward the border of the follicle activating B cells. This cluster showed a downregulation on the expression of CCR7 and up-regulation of BCL6, TOX, CXCR5 and BTLA. The expression of ICOS and CD40LG confirmed the interaction with B cells at the border of the follicle (Crotty, 2019)." "TOX,PTPN13,SLC9A9,IL6ST,ICOS,TIGIT" "Crotty2019|10.1016/j.immuni.2019.04.011" "cd4_t_umap.png" NA
"Tfh LZ GC" "CD4_T" "Tfh LZ GC" "Tfh cells provide IL-21 and CD40 signals required for B cell proliferation and differentiation toward both GC and extrafollicular fates. This cluster expressed IL21 and CD40LG. Also, the initial up-regulation of follicular markers as PDCD1. ATAC-seq analysis confirms the activity of BCL6 in this cluster as a follicular T cell subpopulation (Crotty, 2014)." "PASK,ICOS,TIGIT,IL21,IFITM1" "Crotty2014|10.1016/j.immuni.2014.10.004" "cd4_t_umap.png" NA
"GC Tfh SAP" "CD4_T" "GC Tfh SAP" "Terminally differentiated Tfh cells in GC acquired functions depending on the expression of certain markers. This cluster expressed SH2D1A (SAP, top marker) and specific genes and transcription factors associated with GC function: CXCL13, PDCD1 and POU2AF1. SAP was demonstrated to be essential in CD4 T cells for GC responses and the generation of memory B cells and long-lived plasma cells (Crotty, 2011; Booth et al, 2011)" "SH2D1A,ICOS,TIGIT,PCDC1,TOX2,ID3,CXCL13" "Crotty2011|10.1146/annurev-immunol-031210-101400;Booth2011|10.1182/blood-2010-06-284935" "cd4_t_umap.png" NA
"GC Tfh OX40" "CD4_T" "GC Tfh OX40" "OX40 expression (TNFRSF4) on Tfh cells play a role in the maturation and Ig secretion of B cells and plasma cells during GC reaction (Fu et al, 2021). This cluster expressed higher levels of TNFRSF4, CD200, IL21 and IL4 canonical molecules of GC Tfh. IL-21, and IL-4 are major ‘‘help’’ molecules produced by GC Tfh cells to keep GC B cells alive and induce their proliferation (Crotty, 2011). CXCL13, IL-21 and IL- 4 are also potent inducers of IgG1 class switch recombination for human B cells (Choi and Crotty, 2021)." "PDCD1,ICOS,TIGIT,CD200,EGR2,IL21,TNFRSF4,BATF" "Fu2021|10.3389/fimmu.2021.670637;Crotty2011|10.1146/annurev-immunol-031210-101400;Choi2021|10.1016/j.it.2021.02.002" "cd4_t_umap.png" NA
"Tfh Mem" "CD4_T" "Tfh Mem" "Upon leaving a GC, the Tfh cell acquires a less activated, less polarized Tfh phenotype and can upregulate KLRB1 and develop into resting memory Tfh cells. This cluster had the expression of follicular markers PDCD1, MAF, and higher expression of memory markers such as KLRB1, ITGB1 and CD28 (Crotty, 2014)" "PDCD1,CD128,MAF,IKZF3,TNFRSF1B" "Crotty2014|10.1016/j.immuni.2014.10.004" "cd4_t_umap.png" NA
