file_name,file_id,cell_type,dataset,url
20220215_CD4_T_seurat_obj_atac.rds,f2f3da3ac2fd9c661192f4524eb8c325,CD4-T,ATAC,https://zenodo.org/record/6340174/files/20220215_CD4_T_seurat_obj_atac.rds
20220215_CD4_T_seurat_obj_cite.rds,be3c7138a32d57d8de7c3454550e70c1,CD4-T,CITE,https://zenodo.org/record/6340174/files/20220215_CD4_T_seurat_obj_cite.rds
20220215_CD4_T_seurat_obj.rds,374be473d95564da6726d322b3e5a044,CD4-T,RNA,https://zenodo.org/record/6340174/files/20220215_CD4_T_seurat_obj.rds
20220215_CD8_T_seurat_obj.rds,f8e0222aa26ea06f631d170b3581191f,CD8-T,RNA,https://zenodo.org/record/6340174/files/20220215_CD8_T_seurat_obj.rds
20220215_epithelial_seurat_obj.rds,a11b95ac985c750ae3f7057ec69ac9a4,epithelial,RNA,https://zenodo.org/record/6340174/files/20220215_epithelial_seurat_obj.rds
20220215_FDC_seurat_obj.rds,5cb2e4543f9943712df2d4276699db95,FDC,RNA,https://zenodo.org/record/6340174/files/20220215_FDC_seurat_obj.rds
20220215_GCBC_seurat_obj.rds,7cbea8a977b0d0f2c73498692892fd4c,GCBC,RNA,https://zenodo.org/record/6340174/files/20220215_GCBC_seurat_obj.rds
20220215_ILC_NK_seurat_obj.rds,cd9013a32e9bbc8d9a3bf97f83975ba0,ILC-NK,RNA,https://zenodo.org/record/6340174/files/20220215_ILC_NK_seurat_obj.rds
20220215_myeloid_seurat_obj.rds,bdfc889c83dbce193e7c7e8ae2b07ad4,myeloid,RNA,https://zenodo.org/record/6340174/files/20220215_myeloid_seurat_obj.rds
20220215_NBC_MBC_seurat_obj.rds,fdbf00333bbfd00b709ebd1149b74109,NBC-MBC,RNA,https://zenodo.org/record/6340174/files/20220215_NBC_MBC_seurat_obj.rds
20220215_PC_seurat_obj.rds,fec56153cc67c86c037319c46e8d01bb,PC,RNA,https://zenodo.org/record/6340174/files/20220215_PC_seurat_obj.rds
20220215_PDC_seurat_obj.rds,135e63be33db21bdbd20e88f29555c64,PDC,RNA,https://zenodo.org/record/6340174/files/20220215_PDC_seurat_obj.rds
20220215_preB_seurat_obj.rds,5287515b81e036be7119bafcceaeea9e,preB,RNA,https://zenodo.org/record/6340174/files/20220215_preB_seurat_obj.rds
20220215_preT_seurat_obj.rds,c366dcbd716f200dadfe43d04d3f7726,preT,RNA,https://zenodo.org/record/6340174/files/20220215_preT_seurat_obj.rds
20220215_Th_seurat_obj.rds,e6c66670bd4d51a89bf760b2cecb379c,Th,RNA,https://zenodo.org/record/6340174/files/20220215_Th_seurat_obj.rds
20220215_tonsil_atlas_atac_seurat_obj.rds,18cce89a8d6806576b1d984c188973a1,All,ATAC,https://zenodo.org/record/6340174/files/20220215_tonsil_atlas_atac_seurat_obj.rds
20220215_tonsil_atlas_cite_seurat_obj.rds,56c26167cf1909c3e4617e1c563df2bc,All,CITE,https://zenodo.org/record/6340174/files/20220215_tonsil_atlas_cite_seurat_obj.rds
20220215_tonsil_atlas_rna_seurat_obj.rds,45a5796a0b32ffd16523e011ea3ec007,All,RNA,https://zenodo.org/record/6340174/files/20220215_tonsil_atlas_rna_seurat_obj.rds
20220215_Treg_seurat_obj_atac.rds,bc5936e7b39ab742dfd4223a1128a6b7,Treg,ATAC,https://zenodo.org/record/6340174/files/20220215_Treg_seurat_obj_atac.rds
